time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-13T11:34:01.830Z,37.5369987,-118.8253326,-1.33,1.47,md,14,190,0.05302,0.03,nc,nc72836221,2017-07-13T11:35:36.834Z,"17km SE of Mammoth Lakes, California",earthquake,0.41,0.59,0.08,13,automatic,nc,nc
2017-07-13T11:32:39.850Z,37.6399994,-118.8386688,6.32,1.27,md,16,98,0.003011,0.02,nc,nc72836216,2017-07-13T11:34:16.802Z,"11km E of Mammoth Lakes, California",earthquake,0.42,0.51,0.13,15,automatic,nc,nc
2017-07-13T11:31:56.760Z,37.6438332,-118.8336639,4.87,1.57,md,10,102,0.006121,0.03,nc,nc72836211,2017-07-13T11:33:31.527Z,"12km E of Mammoth Lakes, California",earthquake,0.7,1.28,0.08,9,automatic,nc,nc
2017-07-13T11:25:37.750Z,37.6344986,-118.8769989,5.69,1.55,md,21,90,0.01859,0.03,nc,nc72836191,2017-07-13T11:36:02.529Z,"8km E of Mammoth Lakes, California",earthquake,0.28,0.36,0.11,19,automatic,nc,nc
2017-07-13T11:23:26.170Z,36.3445015,-120.8375015,11.39,1.27,md,6,190,0.167,0.11,nc,nc72836171,2017-07-13T11:33:03.515Z,"29km ENE of King City, California",earthquake,3.5,9.31,0.33,4,automatic,nc,nc
2017-07-13T11:17:45.600Z,37.4688339,-118.8225021,-1.13,1.19,md,12,189,0.0824,0.06,nc,nc72836161,2017-07-13T11:28:03.502Z,"23km SSE of Mammoth Lakes, California",earthquake,0.78,7.16,0.13,11,automatic,nc,nc
2017-07-13T11:16:24.370Z,38.388,-118.6097,0,1.8,ml,17,121.18,0.174,,nn,nn00595777,2017-07-13T11:18:51.784Z,"15km S of Hawthorne, Nevada",earthquake,,,,,automatic,nn,nn
2017-07-13T11:14:40.400Z,33.6885,-116.7871667,14.34,0.95,ml,41,82,0.06492,0.18,ci,ci37701671,2017-07-13T11:18:16.753Z,"8km SW of Idyllwild, CA",earthquake,0.25,0.36,0.201,28,automatic,ci,ci
2017-07-13T11:13:52.500Z,19.2164993,-155.4773407,35.86,2.07,ml,53,88,0.03773,0.11,hv,hv61833321,2017-07-13T11:19:42.560Z,"1km NNE of Pahala, Hawaii",earthquake,0.46,0.66,1.38,3,automatic,hv,hv
2017-07-13T11:11:36.760Z,37.6523323,-118.8411636,5.2,1.26,md,9,124,0.01495,0.02,nc,nc72836146,2017-07-13T11:25:03.496Z,"11km E of Mammoth Lakes, California",earthquake,1.2,1.08,0.05,7,automatic,nc,nc
2017-07-13T11:08:57.310Z,37.6360016,-118.8776703,5.39,1.39,md,15,89,0.01737,0.03,nc,nc72836136,2017-07-13T11:22:02.492Z,"8km E of Mammoth Lakes, California",earthquake,0.63,0.49,0.13,13,automatic,nc,nc
2017-07-13T11:07:59.210Z,37.6464996,-118.8410034,5.98,1.94,md,28,100,0.009448,0.04,nc,nc72836121,2017-07-13T11:25:53.999Z,"11km E of Mammoth Lakes, California",earthquake,0.29,0.41,0.13,26,automatic,nc,nc
2017-07-13T11:03:15.800Z,37.6453323,-118.8401642,6.05,1.56,md,20,99,0.00811,0.03,nc,nc72836116,2017-07-13T11:04:52.879Z,"11km E of Mammoth Lakes, California",earthquake,0.67,0.45,0.24,17,automatic,nc,nc
2017-07-13T11:01:14.410Z,37.6450005,-118.838501,5.42,1.09,md,11,108,0.007332,0.02,nc,nc72836111,2017-07-13T11:02:51.393Z,"11km E of Mammoth Lakes, California",earthquake,0.63,0.53,0.13,11,automatic,nc,nc
2017-07-13T11:00:09.310Z,37.6416664,-118.8393326,6.56,1.59,md,24,83,0.004607,0.05,nc,nc72836106,2017-07-13T11:01:46.747Z,"11km E of Mammoth Lakes, California",earthquake,0.29,0.48,0.46,22,automatic,nc,nc
2017-07-13T10:58:56.740Z,37.6436653,-118.8399963,6.28,2.58,md,34,90,0.006569,0.04,nc,nc72836086,2017-07-13T11:16:05.476Z,"11km E of Mammoth Lakes, California",earthquake,0.25,0.39,0.16,32,automatic,nc,nc
2017-07-13T10:58:39.040Z,37.6438332,-118.840332,6.82,1.78,md,14,108,0.006848,0.03,nc,nc72836101,2017-07-13T11:00:16.508Z,"11km E of Mammoth Lakes, California",earthquake,0.34,0.6,0.31,12,automatic,nc,nc
2017-07-13T10:58:19.860Z,37.6464996,-118.8834991,3.49,1.23,md,7,86,0.01079,0.02,nc,nc72836091,2017-07-13T10:59:56.039Z,"7km E of Mammoth Lakes, California",earthquake,0.83,0.74,0.45,8,automatic,nc,nc
2017-07-13T10:57:46.760Z,37.6451683,-118.8414993,5.86,2.61,md,34,90,0.008469,0.05,nc,nc72836076,2017-07-13T11:16:06.008Z,"11km E of Mammoth Lakes, California",earthquake,0.27,0.42,0.28,32,automatic,nc,nc
2017-07-13T10:57:17.420Z,19.3901672,-155.24617,2.7,2.65,ml,48,63,0.006709,0.29,hv,hv61833231,2017-07-13T11:03:02.670Z,"4km S of Volcano, Hawaii",earthquake,0.26,0.22,0.36,20,automatic,hv,hv
2017-07-13T10:57:16.200Z,37.6401672,-118.8606644,3.55,1.79,md,11,160,0.0198,0.04,nc,nc72836081,2017-07-13T10:58:51.321Z,"9km E of Mammoth Lakes, California",earthquake,0.91,0.68,0.34,9,automatic,nc,nc
2017-07-13T10:57:02.560Z,37.6235008,-118.8193359,2.29,2.52,md,14,110,0.01951,0.38,nc,nc72836096,2017-07-13T11:16:05.686Z,"13km ESE of Mammoth Lakes, California",earthquake,1.28,1.28,0.13,12,automatic,nc,nc
2017-07-13T10:56:29.260Z,37.6450005,-118.8398361,6.02,1.79,md,24,98,0.0077,0.04,nc,nc72836071,2017-07-13T10:58:07.648Z,"11km E of Mammoth Lakes, California",earthquake,0.32,0.46,0.19,20,automatic,nc,nc
2017-07-13T10:55:46.960Z,37.6446648,-118.8399963,6.39,1.49,md,8,115,0.007451,0.02,nc,nc72836066,2017-07-13T10:57:21.359Z,"11km E of Mammoth Lakes, California",earthquake,1.24,1.31,0.33,8,automatic,nc,nc
2017-07-13T10:55:24.100Z,37.6461678,-118.8411636,5.81,2.52,md,29,100,0.009207,0.04,nc,nc72836056,2017-07-13T11:16:04.801Z,"11km E of Mammoth Lakes, California",earthquake,0.29,0.42,0.13,26,automatic,nc,nc
2017-07-13T10:55:22.599Z,60.8036,-146.7718,19.9,1.3,ml,,,,0.73,ak,ak16330986,2017-07-13T11:00:58.394Z,"43km SSW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-07-13T10:54:45.960Z,37.6474991,-118.8411636,5.46,1.33,md,13,110,0.01041,0.03,nc,nc72836061,2017-07-13T11:16:04.476Z,"11km E of Mammoth Lakes, California",earthquake,0.78,0.48,0.18,11,automatic,nc,nc
2017-07-13T10:54:07.020Z,37.6451683,-118.841835,5.93,2.36,md,17,113,0.008612,0.04,nc,nc72836051,2017-07-13T11:13:02.467Z,"11km E of Mammoth Lakes, California",earthquake,0.6,0.46,0.26,15,automatic,nc,nc
2017-07-13T10:53:45.280Z,37.6450005,-118.8411636,5.59,2.92,md,29,98,0.008187,0.08,nc,nc72836031,2017-07-13T11:12:03.465Z,"11km E of Mammoth Lakes, California",earthquake,0.28,0.43,0.34,27,automatic,nc,nc
2017-07-13T10:53:21.330Z,37.6489983,-118.8433304,6.02,1.89,md,10,122,0.01251,0.02,nc,nc72836041,2017-07-13T11:12:02.466Z,"11km E of Mammoth Lakes, California",earthquake,1.02,0.75,0.15,10,automatic,nc,nc
2017-07-13T10:53:05.670Z,33.0368333,-116.0663333,3.11,1.44,ml,34,68,0.1704,0.26,ci,ci37701591,2017-07-13T10:56:51.268Z,"13km SSE of Ocotillo Wells, CA",earthquake,0.48,2.59,0.149,27,automatic,ci,ci
2017-07-13T10:52:49.930Z,37.6394997,-118.8414993,6.63,2.07,md,17,99,0.02663,0.04,nc,nc72836036,2017-07-13T11:09:04.462Z,"11km E of Mammoth Lakes, California",earthquake,0.45,0.82,0.24,15,automatic,nc,nc
2017-07-13T10:52:44.090Z,37.6453323,-118.8413315,6.03,2.52,md,21,107,0.00854,0.05,nc,nc72836046,2017-07-13T11:12:02.650Z,"11km E of Mammoth Lakes, California",earthquake,0.3,0.47,0.49,16,automatic,nc,nc
2017-07-13T10:52:24.770Z,37.6430016,-118.8365021,5.63,0.98,md,12,99,0.005058,0.04,nc,nc72836026,2017-07-13T10:54:01.258Z,"11km E of Mammoth Lakes, California",earthquake,0.53,0.91,0.23,10,automatic,nc,nc
2017-07-13T10:51:54.160Z,37.6450005,-118.8411636,6.02,1.44,md,14,108,0.008187,0.03,nc,nc72836021,2017-07-13T11:09:03.462Z,"11km E of Mammoth Lakes, California",earthquake,0.51,0.69,0.12,12,automatic,nc,nc
2017-07-13T10:51:37.730Z,37.6513329,-118.8454971,6.21,1.19,md,13,121,0.01538,0.03,nc,nc72836016,2017-07-13T11:06:03.455Z,"11km E of Mammoth Lakes, California",earthquake,0.61,0.55,0.13,11,automatic,nc,nc
2017-07-13T10:51:11.470Z,37.6453323,-118.840332,5.99,1.85,md,20,99,0.008166,0.04,nc,nc72836011,2017-07-13T11:03:03.451Z,"11km E of Mammoth Lakes, California",earthquake,0.29,0.45,0.19,18,automatic,nc,nc
2017-07-13T10:50:27.930Z,37.645668,-118.8411636,6.97,1.18,md,14,109,0.008766,0.04,nc,nc72836006,2017-07-13T11:00:03.446Z,"11km E of Mammoth Lakes, California",earthquake,0.5,0.68,0.27,13,automatic,nc,nc
2017-07-13T10:49:38.410Z,37.6414986,-118.838501,7.03,1.93,md,13,110,0.02969,0.04,nc,nc72836001,2017-07-13T10:59:29.223Z,"11km E of Mammoth Lakes, California",earthquake,0.33,0.77,0.5,9,automatic,nc,nc
2017-07-13T10:48:31.480Z,37.6450005,-118.8420029,6.22,2.9,md,36,90,0.008548,0.07,nc,nc72835986,2017-07-13T10:54:02.421Z,"11km E of Mammoth Lakes, California",earthquake,0.27,0.44,0.21,34,automatic,nc,nc
2017-07-13T10:36:52.130Z,33.9168333,-118.4723333,10.68,2.3,ml,59,60,0.05438,0.31,ci,ci37701559,2017-07-13T11:09:29.606Z,"5km W of El Segundo, CA",earthquake,0.39,0.67,0.129,27,automatic,ci,ci
2017-07-13T10:33:46.250Z,37.6430016,-118.8376694,6.13,1.12,md,13,100,0.005231,0.02,nc,nc72835951,2017-07-13T10:50:02.390Z,"11km E of Mammoth Lakes, California",earthquake,0.43,0.86,0.07,11,automatic,nc,nc
2017-07-13T10:28:04.800Z,37.6458321,-118.838501,6.21,1.12,md,15,104,0.008131,0.03,nc,nc72835941,2017-07-13T10:44:01.377Z,"11km E of Mammoth Lakes, California",earthquake,0.43,0.58,0.07,13,automatic,nc,nc
2017-07-13T10:26:43.050Z,37.6471672,-118.8378296,5.98,1.72,md,15,106,0.009322,0.03,nc,nc72835936,2017-07-13T10:41:02.367Z,"11km E of Mammoth Lakes, California",earthquake,0.4,0.6,0.16,13,automatic,nc,nc
2017-07-13T10:25:10.670Z,37.6431656,-118.838501,6.28,1.6,md,13,104,0.0056,0.02,nc,nc72835931,2017-07-13T10:38:02.361Z,"11km E of Mammoth Lakes, California",earthquake,0.44,0.97,0.05,12,automatic,nc,nc
2017-07-13T10:11:44.630Z,39.2303,-118.0953,12.7,2.7,ml,9,203.41,1.248,,nn,nn00595754,2017-07-13T10:14:28.205Z,"42km NNW of Gabbs, Nevada",earthquake,,,,,automatic,nn,nn
